,Candidate_name,Hashtag,Tweets,Polarity
15007,Joe Biden,#MAGA,Hey MAGA guys it is time to become Orthodox stop putting faith in churches that only disintegrate or are formed out of strip malls and they have no theology they won t twist to fit their individual politics FORM your politics to the church not the church to your politics,Neutral
41219,Joe Biden,#TRUMP2020Landside,twitter s fact checker ElectionDay TRUMP2020Landside,Neutral
66028,Joe Biden,#VoteForTrump,Even if they call your state VOTE The media pulls this kind of thing to suppress the vote Don t fall for this tactic People often think oh so amp so already won I don t need to vote No VOTE Get to the polls early and VOTE VoteForTrump MAGA2020LandslideVictory,Neutral
13205,Joe Biden,#MAGA,Boy that will ruin Jeopardy ratings To Think would replace Alex an erudite Gentlemen with Geo Stephanopoulos Democrat Party Sycophant is a sin Alex will be hard to replace but George isn t the answer MAGA,Negative
16951,Joe Biden,#MAGA,warmington You obviously haven t seen the state of so called impartial journalism in North America They re brutal in the US worse in Canada MAGA,Neutral
67437,Joe Biden,#VoteRed,TrumpVirus LIED to Americans so his MoneyBuddies could protect their money amp invest in BigPharma Trump has murdered US Citizens for Money NotMyPresident FlipTheSenateBlue A VoteRed is VOTE for Red Blooded Americans Death from Covid 19,Positive
56010,Joe Biden,#TrumpPence2020,get out and vote Trump2020 TrumpPence TrumpPence2020,Negative
17507,Joe Biden,#MAGA,So you re saying there s a chance that MAGA was right California is going red,Negative
23080,Joe Biden,#redwave,I DON T CARE IF I EVER COME DOWN REDWAVE,Negative
10898,Joe Biden,#KAG,Did the Pennsylvania AG just admit he knows the fix is in Why else would a person in that position predict Trump will lose the election before any votes have even been counted LawAndOrder VoterFraud VoteRedToSaveAmerica VoterSuppression Fixed KAG,Negative
46285,Joe Biden,#Trump2020LandslideVictory,Thank you God Trump2020LandslideVictory,Neutral
13256,Joe Biden,#MAGA,Tucker We heard you It s hard to trust anything Here s what we know ccot dems gop libcrib lnyhbt maga msm ofa p2 resist tcot tlot uniteblue,Neutral
45403,Joe Biden,#Trump2020LandslideVictory,Going out to vote in person tomorrow 1st time in forever have done mail in Not this Time Making sure my vote counts Trump2020LandslideVictory,Negative
21708,Joe Biden,#redwave,Hispanics recognize fake news socialism amp false promises lol Look at venezuela cuba Election2020 redwave,Neutral
41123,Joe Biden,#TRUMP2020Landside,Trump will try to STEAL THE ELECTION using judges over the will of the American people It will confirm all of his anti democracy tactics of extortion and collusion TRUMP2020Landside Ohio Pennsylvania Florida NorthCarolina,Positive
72773,Joe Biden,#VoteRedToSaveAmerica,And just in case you needed another reason to VoteTrump2020 VoteRedToSaveAmerica VoteTrumpPenceToSaveAmerica,Negative
27022,Joe Biden,#redwave,Don t believe the polls Believe She knows what s up trump2020landslidevictory womenfortrump teamtrump redwave,Neutral
2569,Joe Biden,#4MoreYears,They need to get the CIA FBI and U S Marshalls involved in this election 4MoreYears,Negative
35054,Joe Biden,#Trump2020,if Biden is able to steal the presidency please do not give into his tyranny No mask mandate No vaccine mandate No gun infringement No World Economic Forum enslavement Trump2020 Freedom 2ndAmendment,Negative
61186,Joe Biden,#TrumpSupporters,Hey TrumpSupporters READ,Neutral
17775,Joe Biden,#MAGA,Would not happen if on his dime I think the Dotard s funding will limit his rallies cities stiffed by have likely got the message out to all America cities to go COD MAGA,Neutral
74255,Joe Biden,#VoteRedToSaveAmerica,Let s all get it there and VoteRedToSaveAmerica Vote2020 VoteEarly VoteInPerson2020,Negative
65998,Joe Biden,#VoteForTrump,This should result in jail sentences for all who did those terrible things to all the women This is behaviour executed by NAZI doctors in concentration camps VoteLikeYourLifeDependsOnIt VoteBidenHarrisToSaveAmerica Do NOT VoteForTrump because it is a vote against democracy,Positive
2467,Joe Biden,#4MoreYears,What a shame 4MoreYears,Positive
35247,Joe Biden,#Trump2020,just do a military coup and arrest Hillary Obama and Biden the worlds behind you Trump Trump2020 MAGA2020,Negative
77728,Joe Biden,#VoteTrump,LapTopFromHell Because of 47 years of corruption perhaps Hunter Biden thought nothing he did would have any consequences That s why he taped his crimes and left them to a son of a Vietnam Vet He may have been right Nothing will ever happen unless you VoteTrump,Negative
22798,Joe Biden,#redwave,2020Elections what better way is there to watch the redwave than drinking Brick Red Ale from keg creek brewing,Negative
11297,Joe Biden,#KAG,RightSideBroadcastingNetwork Patriots are thankful for your coverage As you grow so will we MAGA KAG Trump2020LandslideVictory,Negative
47681,Joe Biden,#TRUMP2020ToSaveAmerica,I m so ready for 2020 to just be over Please Lord let Trump win so we can end this demonic left and expose them for what they are I pray in the name of JESUS TRUMP2020ToSaveAmerica MAGA,Negative
14436,Joe Biden,#MAGA,It bothers me that Russia worked so hard to get Trump elected the first time and apparently didn t lift a darn finger to help this time We need an investigation MAGA,Negative
29499,Joe Biden,#RedWave2020,Michigan is TrumpCountry It s over RedWave2020,Negative
56843,Joe Biden,#TrumpPence2020,Standing in 2 hr line for your amp Trump2020 TrumpPence2020,Negative
12072,Joe Biden,#KAG,so many of us support you SOMEONE TRIED TO RIP DOWN MY AMERICAN FLAG LISTEN HERE LEFTIES YOU WILL NEVER GET ME TO STOP FLYING THE AMERICAN FLAG maga kag Trump2020LandslideVictory,Negative
46535,Joe Biden,#Trump2020LandslideVictory,Beware the lie of the Red Mirage Trump2020LandslideVictory,Positive
47836,Joe Biden,#TRUMP2020ToSaveAmerica,I m in NEPA it s Trump county Trump2020 VoteTrumpToSaveAmerica TRUMP2020ToSaveAmerica KAG2020,Negative
22793,Joe Biden,#redwave,Patriots you RedWave TrumpLandslide2020 KAG2020,Negative
72889,Joe Biden,#VoteRedToSaveAmerica,MI VoteRedDownBallot and stop the tyranny VoteRedToSaveAmerica,Negative
70850,Joe Biden,#VoteRed,JOEBIDEN2020 VoteBidenHarrisToSaveAmerica on one of his better days do we know who we are ElectionDay into white house Trump VoteRed VoteTrump2020,Neutral
51698,Joe Biden,#TRUMP2020ToSaveAmerica,TRUMP 100 TRUMP2020ToSaveAmerica,Neutral
44586,Joe Biden,#Trump2020LandslideVictory,Easier to worship Jesus with Trump2020LandslideVictory,Negative
37764,Joe Biden,#TRUMP2020Landside,My mother three of my aunties and 2 cousins all life long democratic women voted Republican for the first time in order to support TRUMP TRUMP2020Landside 2020Election,Negative
24907,Joe Biden,#redwave,Go RedWave bring our country 4MoreYears of prosperity The BidenCrimeFamiIy is a national security risk and a disaster for our economy,Negative
62368,Joe Biden,#TrumpSupporters,A trans woman approached the Trump Supporters where dialogue was civil When she walked away some of the supporters called her sir and she expressed to them while heading to her car she was a woman LGBTQ ElectionDay TrumpSupporters bidensupporters,Neutral
42630,Joe Biden,#Trump2020LandslideVictory,And where is your moral compass Trump2020LandslideVictory,Positive
33665,Joe Biden,#Trump2020,2 activist marches I see are being planned RETWEET MillionMagaMarch StopTheStealCaravan STOPTHESTEAL TRUMP2020 Wow gt Every American regardless of Party Should want to know the truth ChinaJoe is NotThePresident VoterFraud BallotHarvesting DominionVotingSystems,Negative
56842,Joe Biden,#TrumpPence2020,New from me gt gt Now that s dedication on ElectionDay TrumpPence2020 cc,Neutral
7375,Joe Biden,#FloridaForTrump,So this triggered the shit out of libtard commies Were is the State Police w tear gas and rubber bullets they say in comment after comment Poor libtards can t tell the difference between traffic and burning down a store LatinosForTrump FloridaForTrump KAG2020,Positive
27104,Joe Biden,#redwave,ter Happy to follow you and be part of the PatriotMovement Please follow me back I love helping Patriots grow Trump2020 MAGA RedWave Blexit and thank you for your service,Neutral
77983,Joe Biden,#VoteTrump,VOTE FOR TRUMP America can t be on democrats putrified corrupted old polititian hands VoteTrump,Negative
78299,Joe Biden,#Wisconsinfortrump,Like all Hollywood wackos she lives in a bubble of ignorance PennsylvaniaForTrump MichiganForTrump WisconsinForTrump NorthCarolina Pennsylvania Chamber of Commerce Rebukes LadyGaga Fracking Ushered in Job Creating Energy Renaissance,Neutral
20447,Joe Biden,#redwave,The redwave is coming They can t stop this,Negative
46860,Joe Biden,#Trump2020LandslideVictory,It will imo Trump2020LandslideVictory,Negative
34163,Joe Biden,#Trump2020,It is better to be a lion for a day than a sheep all your life MasksOff Tyranny plandemic hysteria Trump2020 Freedom PRESIDENTTRUMPISMYPRESIDENT,Negative
64403,Joe Biden,#VoteForTrump,No matter what exit polls say go vote for Trump Stay in line ElectionDay VoteForTrump Vote2020 Election2020,Negative
13742,Joe Biden,#MAGA,Why does every ref take their mask off when they need to talk to someone Isn t that the whole reason you re wearing it nfl maga,Neutral
4984,Joe Biden,#4MoreYears,This small state of NEVADA with only 6 electoral votes seems to decide the next US President and contest is very close here By far without NEVADA Donald Trump projected votes are 268 and he needs to score 270 to elect again USAElections2020 4MoreYears,Neutral
37185,Joe Biden,#TRUMP2020Landside,Just take the red off and vote for TRUMP2020Landside,Negative
1451,Joe Biden,#4MoreYears,WINNERS NEVER CHEAT AND CHEATERS NEVER WIN 4MoreYears DefendDemocracy,Negative
61553,Joe Biden,#TrumpSupporters,Especially when she calls all TrumpSupporters Racist amp Bigots,Neutral
1544,Joe Biden,#4MoreYears,Here is 46th President of the United States at the next International Summit dealing with other Presidents who congratulated Joe Biden for his Victory coupdet te CoupdEtat Election2020results 4MoreYears,Negative
77701,Joe Biden,#VoteTrump,Looks like a peaceful protest to me Minus the looting and vandalism VoteTrump,Negative
23044,Joe Biden,#redwave,A RedWave is coming on earth A BlueWave2020 is coming in the water,Negative
22617,Joe Biden,#redwave,REDWAVE SIRENS Prepare for impact Legend,Negative
37071,Joe Biden,#TRUMP2020Landside,Father God we pray let Voter fraud be uncovered immediately and let no voter fraud plans against America prosper in the Name ofJesus TRUMP2020Landside,Negative
41201,Joe Biden,#TRUMP2020Landside,Between Facebook and Twitter has 117 million followers vs 14 million for I call the Elections2020 TRUMP2020Landside,Neutral
24274,Joe Biden,#redwave,BASED ON WHAT THIS IS FAKENEWS A REDWAVE IS WHAT S HAPPENING TODAY,Negative
46757,Joe Biden,#Trump2020LandslideVictory,Why is the election determined by the progeny of failed revolutionaries in red states who fought for the preservation of chattel slavery Moreover if you are leeching off others how can you have an opinion on how money is spent Trump2020LandslideVictory COVID19,Positive
59431,Joe Biden,#TrumpSupporters,If all 70 590 524 Trump Supporters finally took a stand we could really shake things up I know it s not in our nature to fight back and by fight I do not mean with violence But we need to stop supporting those who support the left in all aspects TrumpSupporters,Negative
3478,Joe Biden,#4MoreYears,After all this nonsense with the Dems election fraud is resolved Get the In the gym and teach them to throw a punch amp take a punch get over the fear 4MoreYears,Negative
58361,Joe Biden,#TrumpSupporters,realDonaldtrump new symbol for Biden The Masked Man and his companion Tonto The Lone Ranger TrumpSupporters Trump2024 ElectionResults2020,Negative
35476,Joe Biden,#Trump2020,To the leftists who need a lesson about the election An election is not certified by the MEDIA The election is certified by each STATE This process took 37 days during the 2000 election with BUSH GORE Don t let the media fool you folks It s not over yet Trump2020,Negative
65492,Joe Biden,#VoteForTrump,I love MyPresident VoteForTrump,Negative
69287,Joe Biden,#VoteRed,We re gonna need a bigger boat Pennsylvania Lt Gov Frets Over Trump Support That s Not Photoshop TrumpTrain VoteRed PAforTrump,Negative
19627,Joe Biden,#redwave,A little something I made on the eve of the election trump2020 maga pony handmade polymerclay horse redwave,Neutral
63012,Joe Biden,#TrumpSupporters,That s your occasion TrumpSupporters Make your president proud,Negative
9223,Joe Biden,#KAG,Have you looked into getting a DISTEMPER SHOT They are widely available from your vet BlackVoicesForTrump DemocratsForTrump GaysForTrump MAGA2020 FightBack KAG LatinosForTrump KAG2020LandslideVictory Trump2020 Trump VoteTrump2020 VoteRED2020RemoveEveryDemocrat,Neutral
50070,Joe Biden,#TRUMP2020ToSaveAmerica,Amazon to hear you God bless you To fight for america for a bright future and against a dark social democrat Nation Trump2020 TRUMP2020ToSaveAmerica MAGA2020 TrumpTrain2020,Negative
41104,Joe Biden,#TRUMP2020Landside,Are you ready Deplorables TRUMP2020Landside,Negative
49116,Joe Biden,#TRUMP2020ToSaveAmerica,Dont give up flordia VOTE FOR TRUMP Biden will simply fuck up the united states all on for the trumplican campaign lets get it BabiesLivesMatter Trump2020 Trump TRUMP2020ToSaveAmerica,Negative
24447,Joe Biden,#redwave,Got my Red shirt on for the RedWave Trump2020 Election2020 americafirst redshirt redcalifornia,Negative
6668,Joe Biden,#FloridaForTrump,Florida 97 in and 400k lead FloridaForTrump Florida,Negative
46692,Joe Biden,#Trump2020LandslideVictory,you re embarrassing anyways views Trump2020LandslideVictory,Neutral
6381,Joe Biden,#ArizonaforTrump,Trump 2020 and beyond MAGA2020LandslideVictory ArizonaforTrump,Negative
74988,Joe Biden,#VoteTrump,Vote Michigan for keeping jobs in Michigan VoteTrump ElectionDay,Negative
69356,Joe Biden,#VoteRed,A poll we can all believe in Things Sleepy Joe says If I m under Chy Nas control why do they pay me so much for you know the thing C mon man VOTE VoteRed VoteRedLikeYourLifeDependsOnIt,Negative
43612,Joe Biden,#Trump2020LandslideVictory,Arizona was NEVER a swing state Trump2020LandslideVictory,Neutral
55975,Joe Biden,#TrumpPence2020,American Presidents Think about Their Own Interests First Haitians Say About U S Elections 11 in Haiti Libert TrumpPence2020 BidenHarris2020,Neutral
33695,Joe Biden,#Trump2020,Mail In Voter Fraud in CA via Thanks for the 7 EXTRA ballots California this is how Crooked the Left is 1 of my son in laws has NEVER voted or Registered but received a mail in ballot but my daughter who has always voted got Nada Trump2020,Negative
35208,Joe Biden,#Trump2020,Forensic audits of the election in key swing states shows that it s a mathematical impossibility that Joe Biden won the election QuidProJoe Trump2020,Negative
46306,Joe Biden,#Trump2020LandslideVictory,Remember if Biden is impeached Harris is President No way is anyone impeach creepy joe Trump2020LandslideVictory,Negative
16649,Joe Biden,#MAGA,A 50 year old maga racist,Positive
7339,Joe Biden,#FloridaForTrump,FloridaForTrump VOTE tomorrow,Neutral
30447,Joe Biden,#RedWave2020,This is the attorney general of Pennsylvania He certainly doesn t appear to be impartial under the law to me Election2020 RedWave2020,Neutral
43260,Joe Biden,#Trump2020LandslideVictory,MAGA would never do that Trump2020LandslideVictory,Negative
77239,Joe Biden,#VoteTrump,please address this How are you going to lead the country while you are being questions about your I mean your son s involvement in this fraud BidenCrimeFamiIy voteTrump VoteRed2020 Trump Biden Harris,Negative
71483,Joe Biden,#VoteRedToSaveAmerica,I want to see a sea of red on those voting lines today It s our turn VoteRedToSaveAmerica Trump2020 StayInLine,Negative
64839,Joe Biden,#VoteForTrump,tuesdayvibe VoteForTrump WalkAway BidenHarrisLandslide2020 Biden2020 Research Biden he is wrong for America A lifelong politician A history of easily bad decisions Your life controlled by Biden,Negative
3671,Joe Biden,#4MoreYears,USElection2020 DonaldTrump JoeBiden USA Election2020 Elections2020 4MoreYears Republican AmericaDecides2020 MAGA MAGA2020 2020Election ElectionNight elections This whole thing is Rigged,Neutral
48628,Joe Biden,#TRUMP2020ToSaveAmerica,Twitter SILENCES president Trump TRUMP2020ToSaveAmerica,Positive
12611,Joe Biden,#KAG,How If all you do is scare them with COVID COVID COVID trump2020 KAG,Neutral
59450,Joe Biden,#TrumpSupporters,Yes he was wide awake for a great speech will be good for canadiansforbiden TrumpSupporters need to get overtime it Help the country heel,Neutral
59035,Joe Biden,#TrumpSupporters,Happy Sunday Christian TrumpSupporters,Negative
58442,Joe Biden,#TrumpSupporters,I want you Trump supporters to understand that the reason he didn t have a plan for his second term is because he knew there would never be a second term Keep America Great is not a platform especially since all he did was destroy it TrumpSupporters,Positive
54270,Joe Biden,#TrumpPence2020,Yes CountEveryLegalVote TrumpPence2020 Mr Vice President we appreciate amp thank you God bless you,Negative
41611,Joe Biden,#TRUMP2020Landside,Okay peeps let s go out and keep our country today MAGA 4MoreYears KAGA2020 TRUMP2020Landside,Negative
18068,Joe Biden,#MAGA,Ben Carson is the latest Trump official to test positive for coronavirus MAGA KAG,Neutral
61989,Joe Biden,#TrumpSupporters,As Forrest Gump put it Stupid is as stupid does TrumpSupporters Democracy2020,Negative
12343,Joe Biden,#KAG,TrumpWins Cookie Poll TrumpWinsWeWin TrumpforAmerica AmericaforTrump 4MoreYears to KAG,Negative
46044,Joe Biden,#Trump2020LandslideVictory,Young Blacks let s get that Trump money SAY NO TO COMMUNISM AND NO TO SOCIALISM Blexit Trump2020 Trump2020LandslideVictory,Negative
75667,Joe Biden,#VoteTrump,I voted to do my part to save this country VoteTrump,Negative
11689,Joe Biden,#KAG,It s time for you to go back to your basement Trump has done more for America in 47 months than you have done in 47 YEARS RetireAlready Trump2020 KAG,Negative
47465,Joe Biden,#Trump2020LandslideVictory,Biden been in it for 47 years amp hasn t done shieet Trump2020LandslideVictory Trump,Negative
41184,Joe Biden,#TRUMP2020Landside,Pennsylvania GO VOTE TRUMP2020Landside Vote RED down ballot for FREEDOM BidenHarris2020 is a vote for marxism lockdowns riots defunded police and China Vote TRUMP and let s get this economy ROLLING BattlegroundState Pennsylvania,Negative
23467,Joe Biden,#redwave,redwave Stay in line,Negative
75859,Joe Biden,#VoteTrump,I voted BidenHarris2020 because only turncoat traitors VoteTrump VoteTrumpOut,Positive
75229,Joe Biden,#VoteTrump,Thank you Mr President for all you have done and what you will continue to do when you win 4 more years vote VoteTrump trumplandslide2020 MAGA MAGA2020LANDSLIDE,Negative
10591,Joe Biden,#KAG,Good luck today America Election2020 maga kag,Neutral
33475,Joe Biden,#Trump2020,Dont give up or acquiesce We stand w you so long as you back amp your gop supporters Trump2020,Negative
11580,Joe Biden,#KAG,Dear MAGA KAG Just a friendly reminder that Donald Trump has been making fools of you for four years and that you don t have to allow yourselves to be conned for four more Have a nice day,Positive
40497,Joe Biden,#TRUMP2020Landside,Time for Trump Voters to Spring into Action TRUMP2020Landside Make it happen VoteRedToSaveAmerica Is not just a slogan it s a calling,Negative
9926,Joe Biden,#KAG,Wake up USA Big biz and high tech interests love JoeBiden because with him they can continue to do business with CCP China unabated They sacrifice HongKong Uyghurs next us Vote for like your life depends on it Trump MAGA KAG Election2020,Negative
19963,Joe Biden,#redwave,violin He s clearly stating that he is not sleeping and we re supposed to trust HIM to give us accurate results LOL What a JOKE RecountEveryState2020 Election2020 RedWave,Neutral
31641,Joe Biden,#RedWaveTsunami,Trump2020 TrumpLandside2020 RedWaveRising RedWaveTsunami Change your Twitter profile picture VoteRed,Negative
27823,Joe Biden,#RedWave2020,congratulations Senate majority leader Mitch McConnell MitchMcConnell RedWave2020,Negative
21671,Joe Biden,#redwave,It s happening redwave Trump2020,Negative
61306,Joe Biden,#TrumpSupporters,Attention TrumpSupporters chanting stop counting amp count every vote do take ur meds AND STFU,Positive
75364,Joe Biden,#VoteTrump,The only way will win is if they cheat VOTE VOTE TRUTH GODBLESSUSA PHIL413 TRUMP2020 MAGA VOTETRUMP,Negative
